sog,ship_heading,wind_speed,wind_direction,air_temperature,air_pressure,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
15.51,343.66,15.66577596,129.1483461,9.593333333,1023.033333,11.71,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,113.77270697793674,0.0
15.73,341.77,15.66577596,129.1483461,9.593333333,1023.033333,11.705,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,115.71812310626608,0.0
15.95,341.78,15.66577596,129.1483461,9.593333333,1023.033333,11.685,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,114.99685272566295,0.0
16.0,341.79,14.38969869,130.3136233,9.876666667,1022.093333,11.635,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,116.49385217369945,0.0
