sog,vessel_id,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel
10.9,1004,320.58,10.354520819715288,46.50610188736445,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.93,1004,320.59,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.93,1004,320.6,14.083183513938303,49.66890577047258,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.8,1004,322.3,14.083183513938303,49.66890577047258,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.8,1004,320.62,14.083183513938303,49.66890577047258,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.59,1004,324.09,14.083183513938303,49.66890577047258,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.47,1004,324.88,14.083183513938303,49.66890577047258,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.37,1004,324.89,14.083183513938303,49.66890577047258,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.3,1004,322.08,14.083183513938303,49.66890577047258,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.3,1004,320.65,14.083183513938303,49.66890577047258,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.1,1004,322.26,14.083183513938303,49.66890577047258,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.1,1004,322.1,14.083183513938303,49.66890577047258,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.1,1004,322.37,14.083183513938303,49.66890577047258,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10,1004,323.95,14.083183513938303,49.66890577047258,11.415,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.88,1004,322.39,23.84981113735447,47.37375535006626,11.415,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.8,1004,322.39,23.84981113735447,47.37375535006626,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.79,1004,320.71,23.84981113735447,47.37375535006626,11.415,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.56,1004,320.72,23.84981113735447,47.37375535006626,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.34,1004,320.72,23.84981113735447,47.37375535006626,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.3,1004,320.73,23.84981113735447,47.37375535006626,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.25,1004,320.74,23.84981113735447,47.37375535006626,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.2,1004,320.74,23.84981113735447,47.37375535006626,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.15,1004,322.34,23.84981113735447,47.37375535006626,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.04,1004,322.56,23.84981113735447,47.37375535006626,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9,1004,320.76,23.84981113735447,47.37375535006626,11.38,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.96,1004,322.57,23.84981113735447,47.37375535006626,11.385,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.89,1004,322.58,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.89,1004,324.47,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.82,1004,322.48,23.93556614423762,42.4228858316329,11.375,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.88,1004,322.39,23.93556614423762,42.4228858316329,11.36,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.87,1004,322.49,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.84,1004,324.07,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.85,1004,320.82,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.8,1004,325.07,23.93556614423762,42.4228858316329,11.38,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.86,1004,322.52,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.87,1004,322.43,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.96,1004,322.64,23.93556614423762,42.4228858316329,11.375,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
9.08,1004,322.91,23.93556614423762,42.4228858316329,11.37,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
17.72,1004,75.06,11.807795491752932,337.52307007366176,11.735,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
17.9,1004,70.36,11.807795491752932,337.52307007366176,11.715,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
17.9,1004,70.36,11.807795491752932,337.52307007366176,11.72,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
